GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0,0,9084327,151390.378
0.02,0,1070549,13783.462
0.06,0,193116,1536.214
0.15,0,33302,168.608
0.32,0,5527,19.068
0.54,0,918,2.047
0.01,0,1955703,30975.216
0.03,0,689861,7836.374
0.09,0,77278,487.654
0.21,0,11368,41.328
0.4,0,2642,7.081
0.61,0,521,1.024
0.76,0,438,0.892
0.05,0,347203,3509.754
0.13,0,35087,167.372
0.28,0,7012,21.48
0.49,0,2058,4.778
0.68,0,466,1.044
0.8,0,481,0.935
0.86,0,707,1.535
0.07,0,126381,980.142
0.18,0,19330,81.091
0.35,0,2827,7.232
0.57,0,1231,3.526
0.74,0,411,0.797
0.83,0,547,0.991
0.87,0,792,1.842
0.04,0,427670,4221.369
0.1,0,63722,359.99
0.24,0,23360,117.031
0.44,0,2946,8.506
0.64,0,442,0.843
0.78,0,438,1.136
0.85,0,644,1.484
0.88,0,836,2.368
0.31,0,7790,31.256
0.52,0,1310,2.495
0.71,0,345,0.713
0.81,0,604,1.213
0.2,0,25075,157.657
0.39,0,2777,7.013
0.6,0,446,0.944
0.84,0,582,1.565
0.89,0,1424,4.534
0.12,0,40182,189.881
0.27,0,22276,123.724
0.48,0,1819,4.387
0.67,0,420,0.914
0.17,0,28685,131.986
0.34,0,2357,6.862
0.56,0,965,2.685
0.73,0,440,0.905
0.23,0,10625,40.726
0.43,0,2611,8.093
0.63,0,389,0.589
0.14,0,32445,165.816
0.3,0,7936,29.213
0.51,0,1567,2.584
0.7,0,428,0.781
0.38,0,2347,6.586
0.59,0,472,0.83
0.75,0,491,0.93
0.9,0,6498,15.639
0.08,0,97106,646.971
0.37,0,2579,7.516
0.11,0,45909,228.627
0.25,0,8732,31.498
0.45,0,3368,11.205
0.22,0,10620,38.895
0.29,0,6645,22.981
0.5,0,1240,2.574
0.58,0,6160,22.845
0.65,0,448,0.876
0.79,0,546,1.03
0.82,0,568,1.339
0.41,0,2448,6.786
0.62,0,480,0.792
0.69,0,541,1.129
0.77,0,464,0.935
0.16,0,25418,106.982
0.19,0,24416,126.484
0.26,0,9761,41.354
0.46,0,4304,17.535
0.33,0,2744,7.886
0.55,0,946,2.233
0.66,0,392,0.682
0.72,0,409,0.946
0.87,0.000909090909090909,197,2.135
0.89,0.000909090909090909,354,4.495
0.9,0.000909090909090909,572,13.259
0.38,0.000909090909090909,922,7.88
0.59,0.000909090909090909,68,0.829
0.75,0.000909090909090909,138,1.326
0.46,0.000909090909090909,938,14.521
0.66,0.000909090909090909,72,0.649
0.79,0.000909090909090909,83,0.897
0.55,0.000909090909090909,318,2.946
0.72,0.000909090909090909,88,0.728
0.82,0.000909090909090909,103,0.827
0.7,0.000909090909090909,100,1.02
0.81,0.000909090909090909,71,0.935
0.86,0.000909090909090909,185,2.165
0.75,0.00181818181818182,87,1.121
