GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0,0,20923920,328012.755
0.51,0,5931,23.9
0.51,0.000909090909090909,494,15.741
0.15,0,35505,160.511
0.02,0,1463255,16953.824
0.11,0,52039,266.342
0.01,0,3641464,52691.855
0.05,0,262226,2176.918
0.03,0,720070,6998.199
0.07,0,136777,984.632
0.12,0,58336,378.108
0.19,0,24620,111.57
0.09,0,95593,649.232
0.23,0,13138,41.801
0.31,0,12863,52.071
0.38,0,6626,17.007
0.04,0,452270,4174.654
0.27,0,15274,75.602
0.35,0,4160,11.797
0.41,0,3857,14.165
0.45,0,6906,21.849
0.48,0,1077,3.182
0.43,0,11606,44.565
0.47,0,1522,3.583
0.49,0,1236,3.521
0.5,0,1823,7.42
0.28,0,8519,31.058
0.44,0,5535,33.129
0.08,0,107041,718.433
0.14,0,35336,157.411
0.21,0,13386,43.721
0.06,0,204713,1682.026
0.17,0,22575,83.786
0.26,0,11192,40.703
0.34,0,4332,11.32
0.4,0,3338,10.816
0.22,0,12582,42.149
0.3,0,9696,43.485
0.37,0,5676,19.381
0.46,0,1061,3.032
0.18,0,21437,82.257
0.1,0,59831,305.465
0.13,0,37682,173.427
0.2,0,25069,126.356
0.36,0,4538,12.963
0.42,0,4726,17.901
0.16,0,35448,194.36
0.24,0,11329,36.035
0.32,0,4578,12.32
0.39,0,3543,9.554
0.29,0,8933,35.503
0.25,0,11203,36.588
0.33,0,4219,11.436
0.51,0.00181818181818182,239,12.303
0.51,0.00272727272727273,268,14.891
0.51,0.00363636363636364,203,9.795
0.5,0.000909090909090909,450,7.267
0.5,0.00181818181818182,308,6.868
0.5,0.00272727272727273,212,6.878
0.51,0.00454545454545455,65,4.98
0.51,0.00545454545454545,121,9.851
0.51,0.00727272727272727,32,4.289
0.51,0.00636363636363636,119,8.422
0.51,0.00909090909090909,49,4.683
0.51,0.00818181818181818,30,1.567
0.48,0.000909090909090909,234,3.188
0.49,0.000909090909090909,225,3.37
0.45,0.000909090909090909,959,21.265
0.46,0.000909090909090909,332,3.551
0.48,0.00181818181818182,265,3.66
0.47,0.000909090909090909,391,4.231
0.49,0.00181818181818182,189,5.137
0.49,0.00272727272727273,128,3.504
0.5,0.00363636363636364,117,4.152
0.5,0.00454545454545455,118,6.863
0.49,0.00363636363636364,97,1.872
0.5,0.00545454545454545,126,9.195
0.5,0.00636363636363636,90,3.468
0.5,0.00727272727272727,162,7.697
0.5,0.00909090909090909,115,5.898
0.5,0.0118181818181818,93,5.33
0.51,0.01,19,3.91
0.5,0.00818181818181818,86,4.335
0.51,0.0109090909090909,9,2.082
0.51,0.0118181818181818,31,3.792
0.51,0.0136363636363636,91,2.614
0.51,0.0127272727272727,89,2.394
0.44,0.000909090909090909,1288,37.355
0.39,0.000909090909090909,703,9.597
0.43,0.000909090909090909,1202,32.244
0.34,0.000909090909090909,1031,9.516
0.35,0.000909090909090909,1211,12.503
0.4,0.000909090909090909,730,10.431
0.42,0.00181818181818182,441,11.787
0.41,0.00181818181818182,484,11.064
0.38,0.00181818181818182,524,11.23
0.33,0.000909090909090909,1224,13.052
0.44,0.00181818181818182,720,35.562
0.43,0.00272727272727273,652,28.745
0.4,0.00181818181818182,447,7.012
0.36,0.000909090909090909,1107,12.749
0.45,0.00272727272727273,444,19.554
0.42,0.000909090909090909,1001,15.133
0.48,0.00272727272727273,213,3.364
0.46,0.00181818181818182,229,3.366
0.38,0.000909090909090909,702,10.788
0.45,0.00181818181818182,697,20.314
0.43,0.00181818181818182,812,30.069
0.48,0.00454545454545455,19,1.286
0.47,0.00545454545454545,184,5.517
0.45,0.00454545454545455,324,16.78
0.42,0.00272727272727273,283,9.353
0.37,0.000909090909090909,1318,18.257
0.48,0.00545454545454545,94,3.797
0.47,0.00727272727272727,77,3.081
0.46,0.00545454545454545,208,3.259
0.44,0.00272727272727273,481,28.055
0.49,0.00545454545454545,88,3.841
0.48,0.00636363636363636,61,1.769
0.48,0.00363636363636364,111,2.98
0.47,0.00181818181818182,203,3.404
0.49,0.00454545454545455,65,2.166
0.47,0.00454545454545455,139,4.155
0.49,0.01,32,4.01
0.48,0.00818181818181818,30,2.234
0.46,0.00454545454545455,46,2.027
0.5,0.01,25,3.263
0.49,0.0127272727272727,81,3.36
0.5,0.0109090909090909,8,1.443
0.49,0.00909090909090909,41,1.838
0.49,0.00636363636363636,35,2.119
0.5,0.0127272727272727,56,3.33
0.5,0.0154545454545455,5,0.993
0.49,0.00727272727272727,67,2.536
0.47,0.00272727272727273,107,2.095
0.5,0.0136363636363636,25,1.778
0.41,0.000909090909090909,878,12.798
0.3,0.000909090909090909,2216,40.395
0.31,0.000909090909090909,2303,50.143
0.49,0.00818181818181818,70,2.203
0.19,0.000909090909090909,6731,110.959
0.26,0.000909090909090909,2294,33.489
0.17,0.000909090909090909,6431,78.949
0.25,0.000909090909090909,3012,38.766
0.23,0.000909090909090909,3650,40.325
0.28,0.00181818181818182,1547,26.131
0.26,0.00181818181818182,1918,34.046
0.22,0.00181818181818182,2555,39.595
0.27,0.000909090909090909,2642,66.236
0.27,0.00181818181818182,1600,54.617
0.24,0.000909090909090909,3082,37.482
0.31,0.00181818181818182,1475,46.952
0.32,0.000909090909090909,1633,14.381
0.33,0.00181818181818182,831,10.981
0.2,0.000909090909090909,5163,105.829
0.39,0.00181818181818182,473,8.846
0.38,0.00363636363636364,252,6.772
0.35,0.00363636363636364,425,10.904
0.3,0.00363636363636364,945,30.557
0.24,0.00181818181818182,2213,35.499
0.41,0.00272727272727273,320,8.49
0.4,0.00454545454545455,164,5.037
0.38,0.00545454545454545,266,8.734
0.33,0.00454545454545455,519,12.695
0.28,0.00272727272727273,1002,26.466
0.21,0.000909090909090909,4464,50.772
0.41,0.00363636363636364,432,12.049
0.39,0.00454545454545455,284,9.566
0.36,0.00363636363636364,513,10.644
0.4,0.00272727272727273,321,7.627
0.4,0.00363636363636364,334,6.551
0.29,0.000909090909090909,2106,35.201
0.35,0.00272727272727273,683,12.571
0.47,0.00363636363636364,52,1.918
0.45,0.00636363636363636,208,16.289
0.43,0.00727272727272727,132,15.145
0.39,0.00636363636363636,219,9.967
0.34,0.00363636363636364,666,14.298
0.46,0.00818181818181818,104,4.086
0.45,0.00909090909090909,170,10.626
0.42,0.00818181818181818,50,3.17
0.37,0.00454545454545455,404,13.685
0.46,0.00272727272727273,213,2.697
0.18,0.000909090909090909,5760,72.132
0.39,0.00363636363636364,415,10.174
0.3,0.00181818181818182,1771,40.799
0.48,0.00727272727272727,79,2.552
0.47,0.00909090909090909,20,1.302
0.44,0.00727272727272727,102,11.518
0.48,0.0118181818181818,108,3.202
0.46,0.01,61,2.852
0.43,0.00545454545454545,379,22.766
0.47,0.00818181818181818,123,2.901
0.45,0.00363636363636364,309,17.698
0.38,0.00272727272727273,295,6.944
0.32,0.00181818181818182,1055,15.696
0.43,0.00363636363636364,360,24.013
0.07,0.000909090909090909,56842,1019.765
0.09,0.000909090909090909,31455,571.76
0.08,0.000909090909090909,43693,763.912
0.06,0.000909090909090909,89043,1611.274
0.12,0.000909090909090909,16696,334.641
