GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0,0,14076928,227498.697
0.03,0,797875,8048.095
0.02,0,1260818,14765.19
0.03,0.000909090909090909,289996,6703.276
0.01,0,2675230,39074.708
0.07,0,175537,1214.462
0.06,0,282026,2230.901
0.04,0,530978,4774.59
0.05,0,353867,2706.296
0.07,0.000909090909090909,73823,1284.47
0.08,0,149938,1036.001
0.3,0,21436,101.06
0.23,0,17177,65.724
0.07,0.00181818181818182,53553,1176.633
0.06,0.000909090909090909,100961,1984.752
0.12,0,58090,313.47
0.17,0,24748,97.345
0.22,0,16507,59.909
0.26,0,17947,64.952
0.28,0,17826,83.506
0.29,0,27515,135.598
0.06,0.00181818181818182,68798,1586.207
0.15,0,32478,152.744
0.27,0,13577,53.049
0.14,0,36292,160.812
0.21,0,16682,58.411
0.2,0,20197,79.455
0.11,0,62173,310.903
0.19,0,19918,79.112
0.25,0,14472,55.646
0.1,0,88472,549.882
0.16,0,37288,199.423
0.18,0,22222,86.984
0.09,0,109972,625.845
0.24,0,18583,73.346
0.13,0,45845,206.437
0.3,0.000909090909090909,3756,88.708
0.08,0.000909090909090909,59360,1061.538
0.3,0.00181818181818182,2518,79.876
0.3,0.00272727272727273,1730,64.568
0.3,0.00363636363636364,1280,56.738
0.35,0,4186,10.046
0.33,0,4632,15.139
0.31,0,7928,29.599
0.34,0,5490,19.233
0.32,0,6863,24.939
0.08,0.00181818181818182,39990,886.109
0.3,0.00454545454545455,1151,46.635
0.3,0.00545454545454545,994,39.774
0.3,0.00636363636363636,638,35.168
0.3,0.00727272727272727,562,23.831
0.29,0.000909090909090909,4631,116.42
0.3,0.00818181818181818,641,21.621
0.3,0.00909090909090909,647,17.703
0.28,0.000909090909090909,4100,75.591
0.29,0.00181818181818182,2713,89.101
0.25,0.000909090909090909,4086,55.834
0.26,0.000909090909090909,4202,56.138
0.24,0.000909090909090909,5582,69.649
0.22,0.000909090909090909,5498,64.731
0.16,0.000909090909090909,11207,190.194
0.34,0.000909090909090909,1684,21.569
0.33,0.000909090909090909,1750,18.067
0.32,0.000909090909090909,1650,22.111
0.35,0.000909090909090909,1368,14.02
0.21,0.000909090909090909,5966,72.19
0.33,0.00181818181818182,727,12.014
0.27,0.000909090909090909,3898,51.185
0.34,0.00181818181818182,1204,19.575
0.2,0.000909090909090909,6427,82.106
0.29,0.00272727272727273,1929,83.653
0.28,0.00181818181818182,3120,77.108
0.27,0.00181818181818182,3020,51.55
0.23,0.000909090909090909,5169,68.214
0.19,0.000909090909090909,7325,90.662
0.26,0.00181818181818182,2608,50.117
0.25,0.00181818181818182,2875,54.348
0.24,0.00181818181818182,4312,74.603
0.21,0.00181818181818182,5005,79.429
0.13,0.000909090909090909,17908,239.271
0.26,0.00272727272727273,1940,46.311
0.25,0.00272727272727273,2517,56.049
0.23,0.00181818181818182,3855,64.211
0.17,0.000909090909090909,9467,117.458
0.1,0.000909090909090909,34705,557.383
0.16,0.00181818181818182,7599,161.889
0.16,0.00272727272727273,5637,128.854
0.15,0.000909090909090909,12366,164.333
0.31,0.00181818181818182,1862,31.683
0.32,0.00181818181818182,1283,21.411
0.33,0.00272727272727273,825,13.836
0.34,0.00272727272727273,968,19.644
0.32,0.00272727272727273,959,22.755
0.33,0.00363636363636364,672,13.538
0.14,0.000909090909090909,14903,188.699
0.09,0.000909090909090909,42643,665.357
0.34,0.00454545454545455,777,20.079
0.34,0.00363636363636364,777,19.052
0.35,0.00181818181818182,714,12.203
0.35,0.00363636363636364,621,11.092
0.35,0.00272727272727273,659,11.182
0.31,0.000909090909090909,2208,31.612
0.22,0.00181818181818182,3579,58.708
0.18,0.000909090909090909,8285,96.658
0.05,0.000909090909090909,140612,2755.479
0.04,0.000909090909090909,194446,4164.117
0.26,0.00363636363636364,1727,41.919
0.25,0.00454545454545455,1372,37.534
0.25,0.00363636363636364,1721,52.322
0.23,0.00363636363636364,2043,53.919
0.19,0.00181818181818182,5287,87.408
0.11,0.000909090909090909,25539,355.842
0.26,0.00454545454545455,1903,46.518
0.26,0.00545454545454545,1159,29.093
0.22,0.00272727272727273,3465,67.997
0.24,0.00272727272727273,3214,63.605
0.12,0.000909090909090909,24012,341.732
0.16,0.00363636363636364,4067,113.502
0.15,0.00181818181818182,8808,152.913
0.28,0.00272727272727273,2067,63.102
0.31,0.00363636363636364,1008,26.667
0.29,0.00454545454545455,1350,56.871
0.32,0.00545454545454545,454,13.146
0.31,0.00545454545454545,919,25.775
0.33,0.00636363636363636,638,16.249
0.33,0.00454545454545455,395,10.837
0.21,0.00272727272727273,3159,65.241
0.2,0.00181818181818182,4224,73.774
0.15,0.00272727272727273,6084,127.386
0.32,0.00454545454545455,781,16.979
0.1,0.00181818181818182,23805,481.431
0.22,0.00363636363636364,2653,59.99
0.33,0.00818181818181818,414,13.197
0.34,0.00636363636363636,763,18.56
0.17,0.00181818181818182,5478,95.498
0.27,0.00454545454545455,1149,37.684
0.32,0.00727272727272727,760,17.822
0.34,0.00818181818181818,453,15.071
0.31,0.00272727272727273,1134,28.512
0.33,0.00545454545454545,569,15.441
0.14,0.00181818181818182,10035,172.868
0.34,0.00727272727272727,677,18.515
0.34,0.00545454545454545,902,18.743
0.28,0.00363636363636364,1970,64.44
0.35,0.00636363636363636,332,9.863
0.35,0.00454545454545455,891,15.573
0.27,0.00272727272727273,2210,46.891
0.13,0.00181818181818182,13537,229.715
0.11,0.00181818181818182,16864,315.081
0.12,0.00181818181818182,15343,292.656
0.13,0.00272727272727273,9725,203.836
0.17,0.00272727272727273,5611,115.044
0.18,0.00363636363636364,3848,88.74
0.18,0.00181818181818182,5934,95.973
0.02,0.000909090909090909,376358,9843.51
0.2,0.00272727272727273,3620,79.264
0.19,0.00272727272727273,4333,77.97
0.05,0.00181818181818182,93679,2238.485
0.09,0.00181818181818182,30428,620.491
0.1,0.00272727272727273,17869,402.099
0.09,0.00272727272727273,23855,533.646
0.08,0.00272727272727273,31362,749.144
0.04,0.00181818181818182,116580,2981.292
0.24,0.00363636363636364,1830,47.98
0.24,0.00454545454545455,1475,41.744
0.24,0.00636363636363636,1020,33.266
0.23,0.00545454545454545,2090,56.469
0.22,0.00454545454545455,2138,57.476
0.23,0.00272727272727273,2678,59.993
0.03,0.00181818181818182,140951,3930.598
0.25,0.00636363636363636,1158,43.109
0.25,0.00545454545454545,1834,50.257
0.25,0.00818181818181818,1025,30.006
0.21,0.00363636363636364,2377,56.039
0.01,0.000909090909090909,470770,14603.347
0.24,0.00545454545454545,1153,35.445
0.18,0.00272727272727273,5043,100.121
0.16,0.00454545454545455,4109,103.69
0.19,0.00363636363636364,3526,82.521
0.32,0.00363636363636364,806,17.772
0.28,0.00636363636363636,834,33.493
0.31,0.00727272727272727,546,17.774
0.29,0.00636363636363636,712,33.698
0.28,0.00454545454545455,1167,54.344
0.2,0.00363636363636364,3225,75.031
0.27,0.00545454545454545,900,29.536
0.32,0.00636363636363636,429,10.673
0.33,0.00909090909090909,298,10.906
0.32,0.00909090909090909,426,11.009
0.34,0.01,340,8.567
0.31,0.00818181818181818,444,13.915
