GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0,0,17258845,283239.492
0.01,0,2784414,36464.556
0.09,0,82407,692.585
0.08,0,71347,415.173
0.06,0,150177,1145.203
0.05,0,204500,1616.599
0.38,0,2320,5.663
0.39,0,1725,3.917
0.1,0,47211,235.089
0.4,0,1858,4.713
0.11,0,36336,186.918
0.41,0,1898,4.973
0.12,0,35219,178.086
0.02,0,1044798,11055.223
0.03,0,520131,4875.796
0.07,0,133465,1107.023
0.15,0,23205,111.506
0.28,0,6504,24.988
0.22,0,8229,29.562
0.04,0,305368,2367.942
0.29,0,6759,13.752
0.26,0,6398,20.999
0.19,0,18563,96.79
0.23,0,8291,29.339
0.13,0,23395,96.26
0.27,0,5685,19.619
0.24,0,8886,38.292
0.25,0,10486,28.341
0.2,0,9884,41.16
0.14,0,21273,95.766
0.16,0,23829,112.726
0.18,0,16561,74.775
0.53,0,11401,42.511
0.42,0,2036,5.281
0.43,0,2110,6.078
0.44,0,3793,11.632
0.17,0,17808,84.915
0.21,0,8890,30.293
0.45,0,1319,2.818
0.46,0,1121,2.489
0.47,0,983,2.224
0.48,0,1156,3.206
0.49,0,936,2.121
0.5,0,1159,3.3
0.3,0,3648,9.875
0.31,0,3286,8.786
0.32,0,2871,6.918
0.51,0,1005,2.772
0.33,0,3079,8.322
0.34,0,3216,9.407
0.35,0,3128,8.99
0.36,0,3069,10.14
0.37,0,6061,16.382
0.52,0,1455,4.495
0.2,0.000909090909090909,4187,54.393
0.2,0.00181818181818182,3512,57.084
0.19,0.000909090909090909,5043,88.982
0.17,0.000909090909090909,5528,82.532
0.2,0.00272727272727273,2684,57.432
0.18,0.000909090909090909,4861,72.715
0.16,0.000909090909090909,6765,110.577
0.2,0.00363636363636364,2197,48.424
0.53,0.000909090909090909,815,33.16
0.53,0.00181818181818182,424,27.866
0.15,0.000909090909090909,8166,109.481
0.14,0.000909090909090909,8127,101.154
0.18,0.00181818181818182,3732,63.866
0.12,0.000909090909090909,13004,186.969
0.19,0.00181818181818182,3655,77.515
0.2,0.00454545454545455,2008,47.398
0.11,0.000909090909090909,14638,205.766
0.2,0.00545454545454545,1862,38.511
