GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0,0,121470337,1905959.61
0.01,0,71574721,1290684.634
0.03,0,21921844,363226.169
0.02,0,41440801,729056.444
0.04,0,11768185,180332.397
0.08,0,1954028,25798.495
0.06,0,4182719,57594.221
0.07,0,2722843,36611.616
0.09,0,1403854,17738.396
0.05,0,6740174,96806.932
0.1,0,1058314,13149.408
0.11,0,795461,9573.08
0.16,0,280958,3138.779
0.18,0,203752,2216.082
0.13,0,511805,5972.384
0.21,0,133303,1425.878
0.22,0,124582,1343.549
0.2,0,157797,1705.29
0.19,0,181230,1982.668
0.15,0,347212,3921.59
0.14,0,422079,4861.1
0.17,0,238900,2589.279
0.12,0,635798,7615.204
0.23,0,112857,1249.169
0.28,0,59803,656.936
0.33,0,30131,315.856
0.34,0,29569,299.012
0.26,0,71609,774.599
0.24,0,105564,1217.043
0.25,0,86618,969.384
0.31,0,33389,343.262
0.37,0,23745,230.942
0.32,0,31956,320.025
0.4,0,19374,203.571
0.41,0,18765,191.777
0.3,0,40899,433.675
0.36,0,24477,244.268
0.29,0,56872,551.367
0.35,0,25496,248.731
0.43,0,16216,168.251
0.27,0,73010,849.911
0.44,0,14522,156.305
0.45,0,13404,151.006
0.38,0,22980,240.603
0.39,0,23877,274.491
0.46,0,13010,143.858
0.42,0,16665,167.37
0.49,0,8611,97.228
0.5,0,7727,82.201
0.51,0,5922,54.378
0.53,0,5476,38.239
0.52,0,5035,50.697
0.47,0,12875,143.231
0.48,0,36249,636.448
0.38,0.01,5728,131.904
0.32,0.01,6564,160.43
0.4,0.01,4333,103.263
0.42,0.01,2959,76.249
0.28,0.01,13923,265.255
0.37,0.01,5088,123.421
0.34,0.01,6716,165.599
0.3,0.01,9774,210.056
0.33,0.01,7242,158.244
0.35,0.01,6236,149.895
0.25,0.01,20950,420.721
0.36,0.01,5255,121.751
0.27,0.01,16880,327.949
0.31,0.01,7445,165.869
0.26,0.01,17720,329.517
0.29,0.01,13021,253.215
0.23,0.01,25703,470.369
0.05,0.01,2971239,70236.291
0.06,0.01,1879334,42758.71
0.24,0.01,22065,410.213
0.21,0.01,39497,739.55
0.22,0.01,32251,579.014
0.19,0.01,47664,868.36
0.16,0.01,89460,1662.238
0.14,0.01,141272,2635.14
0.2,0.01,46634,864.517
0.03,0.01,3518435,98433.16
0.04,0.01,3984888,99478.806
0.15,0.01,106628,2065.035
0.13,0.01,181361,3408.869
0.18,0.01,61629,1142.736
0.12,0.01,226444,4466.078
0.17,0.01,69583,1296.756
0.11,0.01,299616,6013.677
0.02,0.01,2130018,71371.4
0.05,0.02,343759,10855.757
0.04,0.02,197346,7208.136
0.39,0.01,4622,116.336
0.43,0.01,2669,77.977
0.51,0.01,1527,39.177
0.54,0.01,1254,34.341
0.53,0.01,1157,33.708
0.48,0.01,2030,104.214
0.47,0.01,2360,70.298
0.5,0.01,1410,34.721
0.57,0.01,767,24.581
0.56,0.01,1036,30.67
0.52,0.01,1510,45.149
0.1,0.01,381291,7816.74
0.45,0.01,2834,79.377
0.49,0.02,644,23.85
0.38,0.02,925,32.075
0.46,0.01,2132,58.2
0.58,0.02,511,15.243
0.47,0.02,506,17.171
0.32,0.02,2499,45.982
0.52,0.02,493,16.752
0.37,0.02,1074,31.466
0.53,0.02,574,21.104
0.55,0.01,1214,30.901
0.58,0.01,913,31.24
0.36,0.02,1042,34.354
0.49,0.01,1781,49.215
0.07,0.01,1171063,25475.277
0.08,0.01,741275,16178.421
0.09,0.01,539639,11390.584
0.5,0.02,535,18.478
0.56,0.02,212,7.116
0.43,0.02,749,23.177
0.35,0.02,1771,48.835
0.46,0.02,380,12.752
0.31,0.02,4397,98.665
0.41,0.01,3585,91.449
0.44,0.01,1910,64.622
0.2,0.02,16462,349.377
0.26,0.02,7692,152.953
0.27,0.02,6045,116.65
0.29,0.02,3890,84.443
0.15,0.02,36824,848.875
0.22,0.02,9235,192.36
0.17,0.02,25212,552.943
0.24,0.02,9033,191.689
0.19,0.02,24230,494.9
0.25,0.02,7880,153.259
0.28,0.02,4282,93.535
0.23,0.02,11772,232.009
0.13,0.02,54153,1344.551
0.14,0.02,45212,1092.138
0.18,0.02,20534,441.361
0.21,0.02,10964,211.919
0.08,0.02,263522,7121.892
0.07,0.02,332977,9372.855
0.09,0.02,178039,4780.443
0.06,0.02,425600,12165.468
0.16,0.02,31012,681.8
0.57,0,3502,40.164
0.56,0,3107,38.628
0.54,0,3521,35.156
0.62,0.01,235,6.429
0.62,0,2366,19.518
0.6,0,2184,20.015
0.55,0,3690,43.617
0.59,0,2602,27.951
0.61,0,2099,17.322
0.65,0,1917,11.505
0.7,0,1187,11.079
0.73,0,994,7.873
0.72,0,919,7.649
0.66,0,1373,10.288
0.75,0,832,8.289
0.71,0,908,7.959
0.58,0,2661,26.598
0.67,0,1142,9.385
0.1,0.02,120872,3255.761
0.11,0.02,97497,2481.686
0.34,0.02,1034,32.88
0.63,0.01,527,13.547
0.63,0,1750,14.385
0.42,0.02,524,19.99
0.6,0.02,301,9.055
0.61,0.02,241,8.761
0.61,0.01,524,14.589
0.65,0.01,373,10.728
0.71,0.01,185,5.598
0.73,0.01,204,7.443
0.68,0,1166,9.879
0.64,0,1424,13.251
0.76,0,1020,10.421
0.74,0,980,9.093
0.66,0.01,248,6.457
0.68,0.01,274,9.324
0.69,0.01,352,6.569
0.78,0.01,196,6.55
0.8,0.01,147,5.029
0.79,0,716,5.548
0.69,0,1273,9.641
0.78,0,676,4.96
0.82,0,862,7.281
0.84,0,890,9.546
0.83,0,752,7.864
0.81,0,1031,12.472
0.77,0,754,5.381
0.44,0.02,717,29.401
0.4,0.02,943,28.117
0.39,0.02,862,28.695
0.57,0.02,116,4.236
0.6,0.01,501,15.159
0.67,0.02,141,4.194
0.7,0.01,239,6.823
0.75,0.01,116,5.369
0.59,0.01,724,21.211
0.64,0.02,75,4.803
0.66,0.02,327,14.03
0.64,0.01,208,7.108
0.77,0.02,37,1.805
0.77,0.01,99,4.078
0.81,0.01,94,3.275
0.8,0,816,9.318
0.72,0.01,206,5.959
0.82,0.01,113,4.278
0.83,0.01,124,4.546
0.86,0,655,6.555
0.87,0,851,11.197
0.88,0,751,9.875
0.85,0,814,9.998
0.12,0.02,76203,1881.077
0.67,0.01,119,5.78
0.74,0.01,145,4.66
0.69,0.02,15,0.928
0.84,0.01,74,3.628
0.89,0,852,12.709
0.9,0,1085,19.86
0.91,0,3100,49.652
0.92,0,133,0.072
0.93,0,259,0.023
0.08,0.03,37973,1148.127
0.09,0.03,29936,954.674
0.07,0.03,29564,951.857
0.11,0.03,31974,960.937
0.1,0.03,32523,991.495
0.01,0.01,251518,10297.658
0.13,0.03,13099,408.547
0.16,0.03,5707,181.245
0.14,0.03,7908,238.43
0.19,0.03,3935,108.435
0.24,0.03,1254,30.642
0.17,0.03,4694,157.523
0.18,0.03,4132,120.37
0.25,0.03,3349,63.746
